Eons 1:1, עֵ֥ת לָלֶ֖דֶת
Eons 2:1, וְעֵ֣ת לָמ֑וּת
Eons 3:1, עֵ֣ת לָטַ֔עַת
Eons 4:1, וְעֵ֖ת לַעֲק֥וֹר נָטֽוּעַ
Eons 5:1, עֵ֤ת לַהֲרוֹג֙ 
Eons 6:1, וְעֵ֣ת לִרְפּ֔וֹא 
Eons 7:1, עֵ֥ת לִפְר֖וֹץ 
Eons 8:1, וְעֵ֥ת לִבְנֽוֹת
Eons 9:1, עֵ֤ת לִבְכּוֹת֙ 
Eons 10:1, וְעֵ֣ת לִשְׂח֔וֹק 
Eons 11:1, עֵ֥ת סְפ֖וֹד 
Eons 12:1, וְעֵ֥ת רְקֽוֹד
Eons 13:1, עֵ֚ת לְהַשְׁלִ֣יךְ אֲבָנִ֔ים 
Eons 14:1, וְעֵ֖ת כְּנ֣וֹס אֲבָנִ֑ים 
Eons 15:1, עֵ֣ת לַחֲב֔וֹק 
Eons 16:1, וְעֵ֖ת לִרְחֹ֥ק מֵחַבֵּֽק
Eons 17:1, עֵ֤ת לְבַקֵּשׁ֙ 
Eons 18:1, וְעֵ֣ת לְאַבֵּ֔ד 
Eons 19:1, עֵ֥ת לִשְׁמ֖וֹר 
Eons 20:1, וְעֵ֥ת לְהַשְׁלִֽיךְ
Eons 21:1, עֵ֤ת לִקְר֙וֹעַ֙ 
Eons 22:1, וְעֵ֣ת לִתְפּ֔וֹר 
Eons 23:1, עֵ֥ת לַחֲשׁ֖וֹת 
Eons 24:1, וְעֵ֥ת לְדַבֵּֽר
Eons 25:1, עֵ֤ת לֶֽאֱהֹב֙ 
Eons 26:1, וְעֵ֣ת לִשְׂנֹ֔א 
Eons 27:1, עֵ֥ת מִלְחָמָ֖ה 
Eons 28:1, וְעֵ֥ת שָׁלֽוֹם
