id,name,nameHe,startDate,endDate,description,descriptionHe,link,linkHe
age-partriarchs,Patriarchs,אבות,1948,2207,"The Patriarchs – Abraham, Isaac, and Jacob (Genesis 12–50)","האבות – אברהם, יצחק ויעקב (בראשית יב–נ)",https://en.wikipedia.org/wiki/Patriarchs_(Bible),https://he.wikipedia.org/wiki/%D7%A9%D7%9C%D7%95%D7%A9%D7%AA_%D7%94%D7%90%D7%91%D7%95%D7%AA
age-tribes,Tribes of Israel,שבטי ישראל,2207,2448,The Twelve Tribes of Israel – descendants of the Patriarchs (Genesis 29–50),שבטי ישראל – צאצאי האבות (בראשית כט–נ),https://en.wikipedia.org/wiki/Tribes_of_Israel,https://he.wikipedia.org/wiki/%D7%A9%D7%91%D7%98%D7%99_%D7%99%D7%A9%D7%A8%D7%90%D7%9C
age-people-of-israel,People of Israel,עם ישראל,2448,2488,The People of Israel – from the Exodus to the conquest of Canaan (Exodus–Joshua),עם ישראל – מיציאת מצרים ועד כיבוש כנען (שמות–יהושע),https://en.wikipedia.org/wiki/History_of_the_Jews_and_Judaism,https://he.wikipedia.org/wiki/%D7%94%D7%99%D7%A1%D7%98%D7%95%D7%A8%D7%99%D7%94_%D7%A9%D7%9C_%D7%A2%D7%9D_%D7%99%D7%A9%D7%A8%D7%90%D7%9C
age-judges,Judges,שופטים,2488,2871,The Judges – from the conquest of Canaan to the establishment of the monarchy (Judges–1 Samuel),השופטים – מכיבוש כנען ועד הקמת המלוכה (שופטים–שמואל א),https://en.wikipedia.org/wiki/Hebrew_Bible_judges,https://he.wikipedia.org/wiki/%D7%AA%D7%A7%D7%95%D7%A4%D7%AA_%D7%94%D7%A9%D7%95%D7%A4%D7%98%D7%99%D7%9D
age-prophets,Prophets,נביאים,2871,3448,The Prophets – from the establishment of the monarchy to the destruction of the First Temple (1 Samuel–2 Kings),הנביאים – מהקמת המלוכה ועד חורבן בית ראשון (שמואל א–מלכים ב),https://en.wikipedia.org/wiki/Prophets_in_Judaism,https://he.wikipedia.org/wiki/%D7%A0%D7%91%D7%99%D7%90%D7%99_%D7%94%D7%AA%D7%A0%D7%99%D7%9D
age-tanaim,Tanaim,תנאים,3448,3978,The Tanaim – from the destruction of the First Temple to the completion of the Mishnah (1st–3rd centuries CE),התנאים – מחורבן בית ראשון ועד סיום המשנה (המאה ה-1–3 לספירה),https://en.wikipedia.org/wiki/Tannaim,https://he.wikipedia.org/wiki/%D7%AA%D7%A0%D7%90%D7%99%D7%9D
age-amoraim,Amoraim,אמוראים,3978,4260,The Amoraim – from the completion of the Mishnah to the completion of the Talmud (3rd–5th centuries CE),האמוראים – מסיום המשנה ועד סיום התלמוד (המאה ה-3–5 לספירה),https://en.wikipedia.org/wiki/Amoraim,https://he.wikipedia.org/wiki/%D7%90%D7%9E%D7%95%D7%A8%D7%90%D7%99%D7%9D
age-savoraim,Savoraim,סבוראים,4260,4449,The Savoraim – from the completion of the Talmud to the beginning of the Geonic period (5th–7th centuries CE),הסבוראים – מסיום התלמוד ועד תחילת תקופת הגאונים (המאה ה-5–7 לספירה),https://en.wikipedia.org/wiki/Savoraim,https://he.wikipedia.org/wiki/%D7%A1%D7%91%D7%95%D7%A8%D7%90%D7%99%D7%9D
age-geonim,Geonim,גאונים,4449,4800,The Geonim – from the beginning of the Geonic period to the end of the Geonic period (7th–11th centuries CE),הגאונים – מתחילת תקופת הגאונים ועד סופה (המאה ה-7–11 לספירה),https://en.wikipedia.org/wiki/Geonim,https://he.wikipedia.org/wiki/%D7%92%D7%90%D7%95%D7%A0%D7%99%D7%9D
age-rishonim,Rishonim,ראשונים,4800,5325,The Rishonim – from the end of the Geonic period to the beginning of the Acharonim (11th–15th centuries CE),הראשונים – מסוף תקופת הגאונים ועד תחילת תקופת האחרונים (המאה ה-11–15 לספירה),https://en.wikipedia.org/wiki/Rishonim,https://he.wikipedia.org/wiki/%D7%A8%D7%90%D7%A9%D7%95%D7%A0%D7%99%D7%9D
age-acharonim,Acharonim,אחרונים,5325,,The Acharonim – from the beginning of the Acharonim to the present day (15th century CE–present),האחרונים – מתחילת תקופת האחרונים ועד היום (המאה ה-15 לספירה–היום),https://en.wikipedia.org/wiki/Acharonim,https://he.wikipedia.org/wiki/%D7%90%D7%97%D7%A8%D7%95%D7%A0%D7%99%D7%9D

