id,name,nameHe,startDate,endDate,description,descriptionHe,link,linkHe
land-shem,Sons of Shem,בני שם,1657,1996,The descendants of Shem who settled in the region after the flood.,צאצאיו של שם שהתיישבו באזור לאחר המבול.,,
land-cnaan,Cananites,כנענים,1996,2495,The Canaanite peoples who inhabited the land before the Israelite conquest.,עמי כנען שאכלסו את הארץ לפני כיבושה על ידי בני ישראל.,,
land-israelites,Israelites,בני ישראל,2495,3338,The period of the united and divided Israelite monarchies.,תקופת המלוכה הישראלית המאוחדת והמפוצלת.,,
land-judea,Judeah,יהודה,3490,3622,The era of the Kingdom of Judah and the Jewish presence during the Second Temple period.,תקופת ממלכת יהודה והנוכחות היהודית בימי בית שני.,,
land-hasmonean,Hasmoneans,מלכות חשמונאים,3622,3725,The independent Jewish kingdom established by the Maccabees.,הממלכה היהודית העצמאית שהוקמה על ידי המכבים.,,
land-herod,Herodian,שושלת הורדוס,3725,3828,The rule of the Herodian dynasty as client kings under the Roman Empire.,שלטון שושלת הורדוס כמלכי חסות תחת האימפריה הרומית.,,
land-bar-kochva,Bar Kochva,בר כוכבא,3880,3883,The brief period of Jewish independence during the Bar Kokhba revolt.,התקופה הקצרה של עצמאות יהודית במהלך מרד בר כוכבא.,,
land-persian,Persians,פרסים,3408,3442,The period of Persian Achaemenid rule over the region.,תקופת השלטון הפרסי האחמני על האזור.,,
land-greek,Greeks,יוונים,3442,3622,The Hellenistic period under Ptolemaic and Seleucid rule.,התקופה ההלניסטית תחת שלטון בית תלמי והסלאוקים.,,
land-romans,Romans,רומאים,3622,4154,Roman rule over the Land of Israel and the destruction of the Second Temple.,השלטון הרומי על ארץ ישראל וחורבן בית שני.,,
land-byzantine,Byzantine,ביזנטים,4154,4396,The rule of the Eastern Roman (Byzantine) Empire over the region.,שלטון האימפריה הרומית המזרחית (הביזנטית) על האזור.,,
land-arabs,Arabs,ערבים,4396,4859,The early Muslim conquests and subsequent rule by various Islamic caliphates.,הכיבוש המוסלמי המוקדם ושלטונן של ח'ליפויות אסלאמיות שונות.,,
land-crusaders,Crusaders,צלבנים,4859,5051,The period of Christian Crusader kingdoms in the Holy Land.,תקופת ממלכות הצלבנים הנוצריות בארץ הקודש.,,
land-mmaluks,Mamluks,ממלוכים,5051,5277,The rule of the Mamluk Sultanate based in Egypt.,שלטון הסולטנות הממלוכית שמרכזה היה במצרים.,,
land-turks,Turks (Ottomans),תורכים (עותמנים),5277,5677,Four centuries of rule by the Ottoman Empire.,ארבע מאות שנות שלטון של האימפריה העות'מאנית.,,
land-british,British Mandate,מנדט בריטי,5677,5708,British administration of Palestine following World War I.,הממשל הבריטי בארץ ישראל (פלשתינה) לאחר מלחמת העולם הראשונה.,,
land-israel,Jews - Sons of Israel,יהודים - בני ישראל,5708,,The establishment and modern era of the State of Israel.,הקמתה והעידן המודרני של מדינת ישראל.,,
