id,name,nameHe,startDate,endDate,description,descriptionHe
event-flood,The Flood,המבול,17 Cheshvan 1656,27 Cheshvan 1657,The Great Flood in the days of Noah (Genesis 7:11),המבול הגדול בימי נח (בראשית ז:יא)
event-babel,Tower of Babel,מגדל בבל,1 Tishrei 1996,,Dispersion after the Tower of Babel (Genesis 11:9),הפלגה לאחר מגדל בבל (בראשית יא:ט)
event-covenant,Covenant of the Parts,ברית בין הבתרים,15 Nisan 2018,,Brit Bein HaBetarim – God's covenant with Abraham (Genesis 15),ברית בין הבתרים – ברית ה' עם אברהם (בראשית טו)
event-sodom, Destruction of Sodom and Gemorrah,הפיכת סדום ועמורה,1 Tishrei 2047,,Destruction of Sodom and Gemora by rain and brimstone,הפיכת סדום באש מן השמים גפרית ומלח
event-binding-isaac,Binding of Isaac,עקידת יצחק,1 Tishrei 2078,,The Akeidah – binding of Isaac on Mount Moriah (Genesis 22),העקידה – עקידת יצחק על הר המוריה (בראשית כב)
event-exodus,The Exodus,יציאת מצרים,15 Nisan 2448,,The Exodus from Egypt (Exodus 12:41),יציאת מצרים (שמות יב:מא)
event-torah,Giving of the Torah,מתן תורה,6 Sivan 2448,,The Torah was given at Mount Sinai (Exodus 19-20),מתן תורה בהר סיני (שמות יט-כ)
event-golden-calf,Golden Calf,חטא העגל,17 Tammuz 2448,,The sin of the Golden Calf (Exodus 32),חטא עגל הזהב (שמות לב)
event-spies,Sin of the Spies,חטא המרגלים,9 Av 2449,,The spies returned with an evil report (Numbers 13-14),המרגלים חזרו עם דיבה רעה (במדבר יג-יד)
event-enter-land,Entering the Land,כניסה לארץ,10 Nisan 2488,,Israel crossed the Jordan into the Land (Joshua 3-4),ישראל חצו את הירדן אל הארץ (יהושע ג-ד)
event-first-temple,First Temple Period,תקופת בית ראשון,1 Tishrei 2928,9 Av 3338,Solomon's Temple completed (1 Kings 6:38) through destruction by Babylon (2 Kings 25),בית המקדש הראשון של שלמה (מלכים א ו:לח) עד החורבן על ידי בבל (מלכים ב כה)
event-split,Split of Kingdom,התפלגות הממלכה,1 Tishrei 2964,,Kingdom is split into Judah and Israel,התפלגות הממלכה ליהודה וישראל
