id,name,nameHe,startDate,endDate,description,descriptionHe,link,linkHe
pogrom-alexandria,Alexandria Riots,מהומות אלכסנדריה,,1 Av 3798,"Antisemitic riots in Alexandria (38 CE) instigated by Roman prefect Flaccus; Jews were expelled from their quarter, property looted, and many murdered","מהומות אנטישמיות באלכסנדריה (38 לסה''נ) שנגרמו בידי הפרפקט הרומי פלקוס; יהודים גורשו מרובעם, רכושם נבוז ורבים נרצחו",https://en.wikipedia.org/wiki/Alexandria_pogrom_(38),
pogrom-rhineland,Rhineland Massacres (First Crusade),טבחי ריינלנד,1 Iyar 4856,1 Tammuz 4856,"Crusaders massacred Jewish communities along the Rhine (Worms, Mainz, Cologne) in May–June 1096; approximately 12,000 Jews were killed; many died by self-sanctification (Kiddush Hashem)","צלבנים טבחו בקהילות יהודיות לאורך הריין (וורמס, מגנץ, קלן) במאי–יוני 1096; כ-12,000 יהודים נהרגו; רבים מתו בקידוש השם",https://en.wikipedia.org/wiki/Rhineland_massacres,https://he.wikipedia.org/wiki/%D7%92%D7%96%D7%A8%D7%95%D7%AA_%D7%AA%D7%AA%D7%A0%22%D7%95
pogrom-york,York Massacre (Clifford's Tower),טבח יורק,,13 Adar 4950,On 16 March 1190 (13 Adar 4950) approximately 150 Jews died by fire or suicide in Clifford's Tower York after a mob siege; those who emerged were killed,ב-16 במרץ 1190 (י''ג אדר ד'תתק''נ) נהרגו כ-150 יהודים באש או התאבדות במגדל קליפורד ביורק אחרי מצור; היוצאים נרצחו,https://en.wikipedia.org/wiki/York_massacre,https://he.wikipedia.org/wiki/%D7%94%D7%98%D7%91%D7%97_%D7%91%D7%99%D7%94%D7%95%D7%93%D7%99_%D7%99%D7%95%D7%A8%D7%A7
pogrom-granada,Granada Massacre,טבח גרנדה,,9 Tevet 4827,"On 30 December 1066 (9 Tevet 4827) a Muslim mob stormed the palace in Granada, crucified the Jewish vizier Yosef HaNagid, and slaughtered some 4,000 Jews","ב-30 דצמבר 1066 (ט' טבת ד'תתכ''ז) פרץ המון לארמון בגרנדה, צלבו את הוזיר יוסף הנגיד ורצחו כ-4,000 יהודים",https://en.wikipedia.org/wiki/1066_Granada_massacre,https://he.wikipedia.org/wiki/%D7%A4%D7%A8%D7%A2%D7%95%D7%AA_%D7%92%D7%A8%D7%A0%D7%93%D7%94
pogrom-black-death,Black Death Persecutions,רדיפות המגפה השחורה,5108,5112,"Blaming Jews for the Black Death, European mobs massacred Jewish communities in over 350 towns across Germany, France, Spain, and Poland (1348–1351)","בהאשימם יהודים במגפה השחורה, הרגו המוני אירופאים קהילות יהודיות בלמעלה מ-350 ערים בגרמניה, צרפת, ספרד ופולין (1348–1351)",https://en.wikipedia.org/wiki/Black_Death_Jewish_persecutions,https://he.wikipedia.org/wiki/%D7%90%D7%A0%D7%98%D7%99%D7%A9%D7%9E%D7%99%D7%95%D7%AA_%D7%91%D7%99%D7%9E%D7%99_%D7%94%D7%9E%D7%95%D7%95%D7%AA_%D7%94%D7%A9%D7%97%D7%95%D7%A8
pogrom-spain-1391,Spanish Pogroms of 1391,פוגרומים ספרדיים 1391,,17 Sivan 5151,Mass pogroms swept Spanish cities in 1391 beginning with the Seville riots on 17 Sivan (4 June); tens of thousands of Jews were killed or forced to convert; Jewish community life in Spain never recovered,פוגרומים המוניים פשטו בערי ספרד ב-1391 החל ממהומות סביליה (4 יוני); עשרות אלפי יהודים נהרגו או נאלצו להתנצר; החיים הקהילתיים לא התאוששו,https://en.wikipedia.org/wiki/Massacre_of_1391,https://he.wikipedia.org/wiki/%D7%92%D7%96%D7%A8%D7%95%D7%AA_%D7%A7%D7%A0%22%D7%90
pogrom-lisbon,Lisbon Massacre (Easter 1506),טבח ליסבון,,16 Nisan 5266,"During Passover–Easter 1506 a mob massacred approximately 2,000 Jews and conversos in Lisbon over three days (19–21 April 1506 / 16–18 Nisan 5266)","בפסח-פסחא 1506 טבח המון כ-2,000 יהודים ואנוסים בליסבון במשך שלושה ימים (19–21 אפריל 1506 / ט''ז–י''ח ניסן ה'רס''ו)",https://en.wikipedia.org/wiki/Lisbon_massacre,https://he.wikipedia.org/wiki/%D7%A4%D7%95%D7%92%D7%A8%D7%95%D7%9D_%D7%9C%D7%99%D7%A1%D7%91%D7%95%D7%9F
pogrom-fettmilch,Fettmilch Uprising (Frankfurt),פרעות פטמילך בפרנקפורט,,1 Elul 5374,"Hanns Fettmilch led a mob that sacked Frankfurt's Judengasse in August 1614 (Elul 5374) expelling its 1,380 Jewish residents; the Jews were reinstated and Fettmilch executed the following year","חנס פטמילך הוביל המון שפרץ ליהודנגסה בפרנקפורט באוגוסט 1614 (אלול ה'שע''ד) וגירש 1,380 יהודים; היהודים הושבו ופטמילך הוצא להורג בשנה שלאחר מכן",https://en.wikipedia.org/wiki/Fettmilch_Uprising,https://he.wikipedia.org/wiki/%D7%95%D7%99%D7%A0%D7%A6%D7%A0%D7%A5_%D7%A4%D7%98%D7%9E%D7%99%D7%9C%D7%9A
pogrom-cossack,Khmelnytsky Massacres (Gezeirot Tach ve-Tat),גזירות ת''ח ות''ט,1 Nisan 5408,5418,"Cossack leader Bohdan Khmelnytsky led massacres of Ukrainian and Polish Jewish communities (1648–1657); an estimated 100,000–500,000 Jews were killed; this catastrophe is known in Jewish tradition as Gezeirot Tach ve-Tat","בוגדן חמלניצקי הוביל טבחים בקהילות יהודיות אוקראיניות ופולניות (1648–1657); כ-100,000–500,000 יהודים נרצחו; האסון מוכר בסורת ישראל כגזירות ת''ח ות''ט",https://en.wikipedia.org/wiki/Khmelnytsky_Uprising,https://he.wikipedia.org/wiki/%D7%9E%D7%A8%D7%93_%D7%97%D7%9E%D7%9C%D7%A0%D7%99%D7%A6%D7%A7%D7%99
pogrom-hep-hep,Hep-Hep Riots,פרעות הפ-הפ,,1 Elul 5579,"Antisemitic Hep-Hep riots swept Germany and Denmark in August 1819 (Elul 5579); Jewish communities were attacked in Würzburg, Frankfurt, Hamburg, and many other cities","פרעות הפ-הפ האנטישמיות פשטו בגרמניה ודנמרק באוגוסט 1819 (אלול ה'תקע''ט); קהילות יהודיות הותקפו בווירצבורג, פרנקפורט, המבורג וערים רבות אחרות",https://en.wikipedia.org/wiki/Hep-Hep_riots,https://he.wikipedia.org/wiki/%D7%A4%D7%A8%D7%A2%D7%95%D7%AA_%22%D7%94%D7%A4-%D7%94%D7%A4%22
